Title;Type;Issn
Cytometry Part A;journal;ISSN 15524922, 15524930
International Journal of Antimicrobial Agents;journal;ISSN 09248579
Clinical Genetics;journal;ISSN 00099163, 13990004
Journal of Automated Reasoning;journal;ISSN 01687433, 15730670
Cancers;journal;ISSN 20726694
Library and Information Science Research;journal;ISSN 07408188
Neural Networks;journal;ISSN 08936080
Psychological Assessment;journal;ISSN 10403590
Health Policy and Planning;journal;ISSN 14602237, 02681080
BMC Cancer;journal;ISSN 14712407
Deutsches Arzteblatt;journal;ISSN 00121207, 01722107
Shiyou Xuebao/Acta Petrolei Sinica;journal;ISSN 02532697
European Journal of Social Psychology;journal;ISSN 00462772, 10990992
European Journal of Population;journal;ISSN 15729885, 01686577
Soils and Foundations;journal;ISSN 00380806
Political Psychology;journal;ISSN 0162895X, 14679221
Journal of the National Cancer Institute. Monographs;journal;ISSN 10526773
American Journal of Respiratory Cell and Molecular Biology;journal;ISSN 10441549, 15354989
Journal of Quaternary Science;journal;ISSN 02678179, 10991417
Journal of the Royal Society Interface;journal;ISSN 17425662, 17425689
MCC'12 - Proceedings of the 1st ACM Mobile Cloud Computing Workshop;conference and proceeding;-
Comparative Politics;journal;ISSN 00104159
Preventive Medicine;journal;ISSN 10960260, 00917435
Robotics and Computer-Integrated Manufacturing;journal;ISSN 07365845
Surgery;journal;ISSN 00396060
Food Chemistry;journal;ISSN 03088146
Experimental Gerontology;journal;ISSN 05315565
Journal of Materials Chemistry B;journal;ISSN 20507518
Diabetes/Metabolism Research and Reviews;journal;ISSN 15207560, 15207552
Arthritis Research and Therapy;journal;ISSN 14786354
Journal of Apicultural Research;journal;ISSN 00218839
Journal of Computational Biology;journal;ISSN 10665277
European Journal of Soil Science;journal;ISSN 13510754
Evolution and Development;journal;ISSN 1525142X, 1520541X
Medical Teacher;journal;ISSN 0142159X, 1466187X
International Immunology;journal;ISSN 14602377, 09538178
British Journal of Educational Technology;journal;ISSN 00071013, 14678535
Astroparticle Physics;journal;ISSN 09276505
Landslides;journal;ISSN 1612510X, 16125118
Immunologic Research;journal;ISSN 0257277X
Molecular Human Reproduction;journal;ISSN 14602407, 13609947
Age and Ageing;journal;ISSN 00020729, 14682834
Journal of Biological Rhythms;journal;ISSN 07487304
Journal of Chemical Information and Modeling;journal;ISSN 1549960X, 15499596
Structural Safety;journal;ISSN 01674730
Placenta;journal;ISSN 01434004
Journal of Research on Adolescence;journal;ISSN 15327795, 10508392
Trends in hearing;journal;ISSN 23312165
Biological Chemistry;journal;ISSN 14374315, 14316730
Journal of Mathematical Logic;journal;ISSN 02190613
Construction and Building Materials;journal;ISSN 09500618
IEEE Transactions on Circuits and Systems for Video Technology;journal;ISSN 10518215
Journal of Strategic Information Systems;journal;ISSN 09638687
Reviews in the Neurosciences;journal;ISSN 03341763
Current Alzheimer Research;journal;ISSN 15672050
Journal of Space Weather and Space Climate;journal;ISSN 21157251
International Journal of Medical Microbiology;journal;ISSN 14384221, 16180607
IEEE Transactions on Multimedia;journal;ISSN 15209210
Structural and Multidisciplinary Optimization;journal;ISSN 16151488, 1615147X
American Journal of Neuroradiology;journal;ISSN 01956108
Fractional Calculus and Applied Analysis;journal;ISSN 13142224, 13110454
Plant Science;journal;ISSN 01689452
Respiratory Research;journal;ISSN 14659921, 1465993X
Drugs;journal;ISSN 00126667
Physical Review C - Nuclear Physics;journal;ISSN 1089490X, 05562813
Journal of the Association for Information Science and Technology;journal;ISSN 23301643, 23301635
International Journal of Greenhouse Gas Control;journal;ISSN 17505836
Composites Part A: Applied Science and Manufacturing;journal;ISSN 1359835X
Review of International Political Economy;journal;ISSN 14664526, 09692290
Discrete and Continuous Dynamical Systems;journal;ISSN 10780947
International Journal of Solids and Structures;journal;ISSN 00207683
University of Chicago Law Review;journal;ISSN 00419494
Occupational and Environmental Medicine;journal;ISSN 14707926, 13510711
Games and Economic Behavior;journal;ISSN 08998256, 10902473
Archives of Toxicology;journal;ISSN 03405761, 14320738
International Journal for Quality in Health Care;journal;ISSN 14643677, 13534505
Toxicology and Applied Pharmacology;journal;ISSN 10960333, 0041008X
Protein & Cell;journal;ISSN 1674800X, 16748018
Cell and Bioscience;journal;ISSN 20453701
Environmental Microbiology Reports;journal;ISSN 17582229
Psychology of Addictive Behaviors;journal;ISSN 0893164X
Seminars in Fetal and Neonatal Medicine;journal;ISSN 1744165X
Experimental Diabetes Research;journal;ISSN 16875303, 16875214
IEEE Transactions on Parallel and Distributed Systems;journal;ISSN 10459219
Applied and Computational Harmonic Analysis;journal;ISSN 1096603X, 10635203
Prostate Cancer and Prostatic Diseases;journal;ISSN 13657852
British Journal of Nutrition;journal;ISSN 00071145, 14752662
Protist;journal;ISSN 14344610
Proceedings of the IEEE;journal;ISSN 00189219
Decision Sciences;journal;ISSN 00117315, 15405915
HPB;journal;ISSN 14772574, 1365182X
Bone Marrow Transplantation;journal;ISSN 02683369
Contemporary Physics;journal;ISSN 13665812, 00107514
Cancer Causes and Control;journal;ISSN 15737225, 09575243
The Gerontologist;journal;ISSN 00169013
Urban Geography;journal;ISSN 02723638
Frontiers in Bioscience;journal;ISSN 10939946
Journal of Archaeological Science;journal;ISSN 10959238, 03054403
Electronic Commerce Research and Applications;journal;ISSN 15674223
Clinical Neurophysiology;journal;ISSN 13882457
International Journal of Life Cycle Assessment;journal;ISSN 09483349
Biomass and Bioenergy;journal;ISSN 09619534
European Journal of Endocrinology;journal;ISSN 08044643
Oceanography;journal;ISSN 10428275
International Journal of Plant Genomics;journal;ISSN 16875389, 16875370
HAU: Journal of Ethnographic Theory;journal;ISSN 20491115
Postharvest Biology and Technology;journal;ISSN 09255214
European Journal of Industrial Relations;journal;ISSN 09596801
Physics in Medicine and Biology;journal;ISSN 00319155
Animal Conservation;journal;ISSN 14691795, 13679430
Information Systems Journal;journal;ISSN 13652575, 13501917
Palaeontology;journal;ISSN 00310239, 14754983
Communications in Nonlinear Science and Numerical Simulation;journal;ISSN 10075704
Organisms Diversity and Evolution;journal;ISSN 14396092
Freshwater Biology;journal;ISSN 13652427, 00465070
Neurogenetics;journal;ISSN 13646753, 13646745
Current Molecular Medicine;journal;ISSN 15665240
Earth Surface Processes and Landforms;journal;ISSN 01979337
School Effectiveness and School Improvement;journal;ISSN 09243453
Cognition and Emotion;journal;ISSN 14640600, 02699931
California Management Review;journal;ISSN 00081256
Automation in Construction;journal;ISSN 09265805
Fuel Processing Technology;journal;ISSN 03783820
Current Opinion in Gastroenterology;journal;ISSN 15317056, 02671379
Influenza and other Respiratory Viruses;journal;ISSN 17502640, 17502659
Environment and Planning C: Government and Policy;journal;ISSN 0263774X
European Journal of Cardio-thoracic Surgery;journal;ISSN 10107940
Organic Geochemistry;journal;ISSN 01466380
Marine Policy;journal;ISSN 0308597X
Urban Studies;journal;ISSN 1360063X, 00420980
Journal of Cardiovascular Translational Research;journal;ISSN 19375395, 19375387
Annual Reports on the Progress of Chemistry - Section C;journal;ISSN 02601826
Journal of Youth and Adolescence;journal;ISSN 00472891, 15736601
Endocrinology and Metabolism Clinics of North America;journal;ISSN 08898529
Weed Science;journal;ISSN 15502759, 00431745
Journal of Studies in International Education;journal;ISSN 10283153
Mathematical Geosciences;journal;ISSN 18748961
Development Growth and Differentiation;journal;ISSN 00121592, 1440169X
International Reviews of Immunology;journal;ISSN 08830185
Journal of the American Planning Association;journal;ISSN 01944363
Neuropsychology;journal;ISSN 08944105
British Journal of Developmental Psychology;journal;ISSN 0261510X
Journal of Chemical Ecology;journal;ISSN 15731561, 00980331
Faraday Discussions;journal;ISSN 13596640, 13645498
Health and Place;journal;ISSN 13538292
Bayesian Analysis;journal;ISSN 19360975, 19316690
Nutrition, Metabolism and Cardiovascular Diseases;journal;ISSN 15903729, 09394753
Physiologia Plantarum;journal;ISSN 13993054, 00319317
Immunogenetics;journal;ISSN 00937711, 14321211
Contraception;journal;ISSN 00107824
Journal of Trauma and Acute Care Surgery;journal;ISSN 21630763, 21630755
Atmospheric Research;journal;ISSN 01698095
Journal of Guidance, Control, and Dynamics;journal;ISSN 07315090, 15333884
Marine Ecology - Progress Series;journal;ISSN 01718630, 16161599
Apoptosis : an international journal on programmed cell death;journal;ISSN 1573675X, 13608185
Electronic Journal of Probability;journal;ISSN 10836489
Boreas;journal;ISSN 15023885, 03009483
Ornithological Monographs;book serie;ISSN 00786594
International Journal of Pressure Vessels and Piping;journal;ISSN 03080161
Wear;journal;ISSN 00431648
Fortschritte der Physik;journal;ISSN 15213978, 00158208
Canadian Medical Association journal;journal;ISSN 08203946
Journal of the American Medical Directors Association;journal;ISSN 15258610
International Migration Review;journal;ISSN 01979183
Academy of Management Learning and Education;journal;ISSN 1537260X
Journal of Allergy and Clinical Immunology: In Practice;journal;ISSN 22132198
Structural Control and Health Monitoring;journal;ISSN 15452255
Desalination;journal;ISSN 00119164
European Review of Agricultural Economics;journal;ISSN 14643618, 01651587
Insect Molecular Biology;journal;ISSN 09621075, 13652583
Analytica Chimica Acta;journal;ISSN 00032670
Tellus, Series B: Chemical and Physical Meteorology;journal;ISSN 02806509
Urban Education;journal;ISSN 00420859
Agricultural Water Management;journal;ISSN 03783774
Reference Services Review;journal;ISSN 00907324
Journal of Occupational and Organizational Psychology;journal;ISSN 09631798
Physiological Genomics;journal;ISSN 15312267, 10948341
International Journal of Gynecology and Obstetrics;journal;ISSN 00207292
Foot and Ankle International;journal;ISSN 10711007
Discovery medicine;journal;ISSN 15396509
International Journal of Sports Physiology and Performance;journal;ISSN 15550273, 15550265
Journal of Public Relations Research;journal;ISSN 1062726X
Journal of Legal Analysis;journal;ISSN 19465319, 21617201
IEEE Transactions on Software Engineering;journal;ISSN 00985589
Foundations and Trends in Networking;journal;ISSN 15540588, 1554057X
Journal of Crohn's and Colitis;journal;ISSN 18739946, 18764479
Clinical Trials;journal;ISSN 17407745, 17407753
Aging and Disease;journal;ISSN 21525250
Journal of Neuroendocrinology;journal;ISSN 09538194
Archives of Disease in Childhood: Fetal and Neonatal Edition;journal;ISSN 13592998
European Psychiatry;journal;ISSN 09249338
Basin Research;journal;ISSN 0950091X, 13652117
Transfusion Medicine Reviews;journal;ISSN 08877963
Sexual Abuse: Journal of Research and Treatment;journal;ISSN 1573286X, 10790632
Cell and Tissue Research;journal;ISSN 0302766X, 14320878
Progress in Medicinal Chemistry;book serie;ISSN 00796468
Food Research International;journal;ISSN 09639969
Aesthetic Surgery Journal;journal;ISSN 1527330X, 1090820X
Climate Policy;journal;ISSN 14693062
Mobile DNA;journal;ISSN 17598753
Vascular Cell;journal;ISSN 2045824X
Transfusion;journal;ISSN 15372995, 00411132
Clinical Pharmacokinetics;journal;ISSN 03125963
Current Cancer Drug Targets;journal;ISSN 15680096
Biomolecules;journal;ISSN 2218273X
European Journal of Mechanics, A/Solids;journal;ISSN 09977538
Journal of Anxiety Disorders;journal;ISSN 08876185
Chemosphere;journal;ISSN 00456535
CNS Neuroscience and Therapeutics;journal;ISSN 17555949, 17555930
International Journal of Psychophysiology;journal;ISSN 01678760
Business Ethics Quarterly;journal;ISSN 1052150X
Behavioural Brain Research;journal;ISSN 01664328
NMR in Biomedicine;journal;ISSN 09523480, 10991492
Annals of Applied Statistics;journal;ISSN 19326157
Cultural Geographies;journal;ISSN 14744740, 14770881
Social Forces;journal;ISSN 00377732, 15347605
Journal of Analytical and Applied Pyrolysis;journal;ISSN 01652370
Early Childhood Research Quarterly;journal;ISSN 08852006
Microbial Cell Factories;journal;ISSN 14752859
Social Issues and Policy Review;journal;ISSN 17512409, 17512395
Development Genes and Evolution;journal;ISSN 0949944X, 1432041X
International Journal of Nursing Studies;journal;ISSN 00207489
Molecular Immunology;journal;ISSN 01615890
Geoderma;journal;ISSN 00167061
Anesthesia and Analgesia;journal;ISSN 15267598, 00032999
Environmental Toxicology and Chemistry;journal;ISSN 07307268
Molecular Genetics and Metabolism;journal;ISSN 10967192, 10967206
Journal of Cellular Biochemistry;journal;ISSN 10974644, 07302312
Gene Therapy;journal;ISSN 14765462, 09697128
Journal of Technology Transfer;journal;ISSN 08929912
Tree Physiology;journal;ISSN 0829318X
Molecular Oral Microbiology;journal;ISSN 20411006
Food Control;journal;ISSN 09567135
Soil Dynamics and Earthquake Engineering;journal;ISSN 02677261
High Energy Density Physics;journal;ISSN 15741818
ACM Transactions on Intelligent Systems and Technology;journal;ISSN 21576912, 21576904
Global Food Security;journal;ISSN 22119124
Assessment;journal;ISSN 10731911
Journal of Pain and Symptom Management;journal;ISSN 08853924
Prevention Science;journal;ISSN 15736695, 13894986
Addictive Behaviors;journal;ISSN 03064603
Handbook of Experimental Pharmacology;book serie;ISSN 01712004
Bioarchitecture;journal;ISSN 19490992, 1949100X
Inorganic Chemistry Frontiers;journal;ISSN 20521545, 20521553
Journal of Mathematical Psychology;journal;ISSN 00222496, 10960880
Socio-Economic Planning Sciences;journal;ISSN 00380121
International Journal of Cardiology;journal;ISSN 01675273
Sedimentary Geology;journal;ISSN 00370738
Birth Defects Research Part C - Embryo Today: Reviews;journal;ISSN 15429768, 1542975X
Topics in antiviral medicine;journal;ISSN 21615853, 21615861
Advances in Nonlinear Analysis;journal;ISSN 21919496, 2191950X
African Affairs;journal;ISSN 00019909, 14682621
Composites Science and Technology;journal;ISSN 02663538
Geoforum;journal;ISSN 00167185
Brain and Cognition;journal;ISSN 02782626, 10902147
Nonlinear Dynamics;journal;ISSN 0924090X
International Journal of Stroke;journal;ISSN 17474949, 17474930
ITCS 2013 - Proceedings of the 2013 ACM Conference on Innovations in Theoretical Computer Science;conference and proceeding;-
G3 (Bethesda, Md.);journal;ISSN 21601836
Clinical Lung Cancer;journal;ISSN 15257304
BMC Infectious Diseases;journal;ISSN 14712334
Proceedings - IEEE Symposium on Security and Privacy;conference and proceeding;ISSN 10816011
Zoologica Scripta;journal;ISSN 03003256, 14636409
Evolutionary Anthropology;journal;ISSN 15206505, 10601538
International Orthopaedics;journal;ISSN 14325195, 03412695
Nuclear Receptor Signaling;journal;ISSN 15507629
Journal of Service Management;journal;ISSN 17575818
Pediatric Blood and Cancer;journal;ISSN 15455017, 15455009
North American Actuarial Journal;journal;ISSN 10920277
Biofabrication;journal;ISSN 17585090, 17585082
Optical Materials Express;journal;ISSN 21593930
Brain Topography;journal;ISSN 08960267, 15736792
Tuberculosis;journal;ISSN 14729792
Journal of Eukaryotic Microbiology;journal;ISSN 10665234, 15507408
Journal of Clinical Virology;journal;ISSN 13866532
Judgment and Decision Making;journal;ISSN 19302975
Oxidative Medicine and Cellular Longevity;journal;ISSN 19420900, 19420994
Journal of Industrial Ecology;journal;ISSN 15309290, 10881980
Intermetallics;journal;ISSN 09669795
Palaeogeography, Palaeoclimatology, Palaeoecology;journal;ISSN 00310182
Methods in Enzymology;journal;ISSN 00766879
Maritime Policy and Management;journal;ISSN 03088839
Foundations of Computational Mathematics;journal;ISSN 16153375, 16153383
Journal of Food Engineering;journal;ISSN 02608774
Tissue Engineering - Part A;journal;ISSN 19373341
Advances in Protein Chemistry and Structural Biology;book serie;ISSN 18761631, 18761623
International Journal of Hygiene and Environmental Health;journal;ISSN 14384639
Acta Oncologica;journal;ISSN 0284186X, 1651226X
International Journal of Project Management;journal;ISSN 02637863
Tropical Medicine and International Health;journal;ISSN 13653156, 13602276
International Interactions;journal;ISSN 03050629, 15477444
Journal of Neurodevelopmental Disorders;journal;ISSN 18661947
Political Communication;journal;ISSN 10584609, 10917675
International Journal of Control;journal;ISSN 00207179
Journal of Sound and Vibration;journal;ISSN 10958568, 0022460X
Studies in Familiy Planning;journal;ISSN 00393665, 17284465
Kinetic and Related Models;journal;ISSN 19375077, 19375093
Radiation Research;journal;ISSN 00337587
BMC Systems Biology;journal;ISSN 17520509
Groups, Geometry, and Dynamics;journal;ISSN 16617207, 16617215
International Review of Finance;journal;ISSN 14682443, 1369412X
Annales de l'Institut Fourier;journal;ISSN 03730956
Journal of Cardiac Failure;journal;ISSN 10719164, 15328414
Journal of Geometric Analysis;journal;ISSN 10506926
Ecological Indicators;journal;ISSN 1470160X
Annals of Thoracic Surgery;journal;ISSN 00034975
Obesity Surgery;journal;ISSN 09608923
Computer Vision and Image Understanding;journal;ISSN 10773142, 1090235X
Carbohydrate Polymers;journal;ISSN 01448617
Biology;journal;ISSN 20797737
Journal of Risk and Insurance;journal;ISSN 15396975, 00224367
Marine Geology;journal;ISSN 00253227
Progress in Aerospace Sciences;journal;ISSN 03760421
European Journal of Clinical Nutrition;journal;ISSN 09543007
Parkinsonism and Related Disorders;journal;ISSN 13538020
American Journal of Tropical Medicine and Hygiene;journal;ISSN 00029637
Journal of Applied Physiology;journal;ISSN 15221601, 87507587
Histopathology;journal;ISSN 13652559, 03090167
European Journal of Agronomy;journal;ISSN 11610301
Annual Review of Resource Economics;journal;ISSN 19411340
Comparative Education Review;journal;ISSN 1545701X, 00104086
BMC Cell Biology;journal;ISSN 14712121
British Journal of Clinical Pharmacology;journal;ISSN 03065251, 13652125
Journal of Cystic Fibrosis;journal;ISSN 15691993
American Journal of Clinical Dermatology;journal;ISSN 11750561
JAMA Dermatology;journal;ISSN 21686084, 21686068
OncoImmunology;journal;ISSN 2162402X, 21624011
Developmental Neuroscience;journal;ISSN 14219859, 03785866
Journal of Science and Medicine in Sport;journal;ISSN 14402440
Future Generation Computer Systems;journal;ISSN 0167739X
Mathematische Zeitschrift;journal;ISSN 14328232, 00255874
2013 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2013 - Proceedings;conference and proceeding;-
Nonlinear Analysis, Theory, Methods and Applications;journal;ISSN 0362546X
Journal of Cognition and Development;journal;ISSN 15248372, 15327647
Computational Optimization and Applications;journal;ISSN 15732894, 09266003
Philosophers Imprint;journal;ISSN 1533628X
Journal of Learning Disabilities;journal;ISSN 00222194
Neuroendocrinology;journal;ISSN 14230194, 00283835
Archives of Biochemistry and Biophysics;journal;ISSN 00039861, 10960384
Exceptional Children;journal;ISSN 00144029
Journal of Glaucoma;journal;ISSN 10570829
Prostate;journal;ISSN 02704137, 10970045
Computational Geosciences;journal;ISSN 14200597
Expert Opinion on Drug Delivery;journal;ISSN 17425247
Proteomics;journal;ISSN 16159853, 16159861
International Journal of Applied Earth Observation and Geoinformation;journal;ISSN 15698432
Surgical Oncology;journal;ISSN 09607404
Journal of Proteomics;journal;ISSN 18743919
Journal of Information Technology;journal;ISSN 02683962, 14664437
Bulletin of the London Mathematical Society;journal;ISSN 14692120, 00246093
Hystrix;journal;ISSN 18255272, 03941914
Insect Conservation and Diversity;journal;ISSN 1752458X, 17524598
Hormones and Cancer;journal;ISSN 18688500, 18688497
Markov Processes and Related Fields;journal;ISSN 10242953
Purinergic Signalling;journal;ISSN 15739546, 15739538
Gut Microbes;journal;ISSN 19490976, 19490984
Acta Ophthalmologica;journal;ISSN 1755375X, 17553768
Reproduction;journal;ISSN 14701626, 17417899
Neurodegenerative Diseases;journal;ISSN 16602862, 16602854
Critical Studies in Education;journal;ISSN 17508487, 17508495
Ultrasonics Sonochemistry;journal;ISSN 13504177
Progress in Neurological Surgery;journal;ISSN 00796492
Reviews in Fish Biology and Fisheries;journal;ISSN 15735184, 09603166
Journal of Computational Chemistry;journal;ISSN 1096987X, 01928651
Planta;journal;ISSN 00320935, 14322048
Forensic Toxicology;journal;ISSN 18608973, 18608965
Journal of Atmospheric and Oceanic Technology;journal;ISSN 15200426, 07390572
Energy and Fuels;journal;ISSN 08870624, 15205029
Psychology of Violence;journal;ISSN 21520828, 2152081X
Tribology International;journal;ISSN 0301679X
Geopolitics;journal;ISSN 14650045
Journal of Social Issues;journal;ISSN 00224537, 15404560
IET Control Theory and Applications;journal;ISSN 17518644
Journal of Oncology Practice;journal;ISSN 15547477
Current Diabetes Reviews;journal;ISSN 15733998
Journal of Orthopaedic Research;journal;ISSN 07360266
Phytopathology;journal;ISSN 0031949X
Journal of Materials Processing Technology;journal;ISSN 09240136
Organic and Biomolecular Chemistry;journal;ISSN 14770539, 14770520
International Journal of Mechanical Sciences;journal;ISSN 00207403
Journal of Archaeological Method and Theory;journal;ISSN 10725369
Journal of Epidemiology;journal;ISSN 09175040, 13499092
WormBook : the online review of C. elegans biology;journal;ISSN 15518507
Biochimie;journal;ISSN 03009084
Inverse Problems;journal;ISSN 02665611
Current Issues in Molecular Biology;journal;ISSN 14673045, 14673037
Environment and Planning A;journal;ISSN 0308518X
Osteoporosis International;journal;ISSN 0937941X, 14332965
Public Administration;journal;ISSN 14679299, 00333298
Annalen der Physik (Leipzig);journal;ISSN 15213889, 00033804
Earthquake Spectra;journal;ISSN 87552930
TESOL Quarterly;journal;ISSN 00398322
Spine;journal;ISSN 03622436, 15281159
American Journal of Botany;journal;ISSN 15372197, 00029122
GSA Today;journal;ISSN 10525173
Human Nature;journal;ISSN 10456767
Reproductive BioMedicine Online;journal;ISSN 14726491, 14726483
Current Opinion in Insect Science;journal;ISSN 22145753, 22145745
IEEE Transactions on Systems, Man and Cybernetics Part A: Systems and Humans.;journal;ISSN 10834427
Journal of Law, Economics, and Organization;journal;ISSN 87566222, 14657341
Journal of Multivariate Analysis;journal;ISSN 0047259X, 10957243
Thyroid;journal;ISSN 10507256
Journal of Personality Assessment;journal;ISSN 15327752, 00223891
Supplements to Clinical neurophysiology;journal;ISSN 1567424X
Behavior Genetics;journal;ISSN 15733297, 00018244
Annales Academiae Scientiarum Fennicae Mathematica;journal;ISSN 1239629X
Preventing chronic disease;journal;ISSN 15451151
Ergodic Theory and Dynamical Systems;journal;ISSN 01433857, 14694417
ACS Sustainable Chemistry and Engineering;journal;ISSN 21680485
Journal of Cardiovascular Computed Tomography;journal;ISSN 19345925
European Archives of Psychiatry and Clinical Neuroscience;journal;ISSN 14338491, 09401334
Journal of the Franklin Institute;journal;ISSN 00160032
Environmental Research;journal;ISSN 10960953, 00139351
Journal of Industrial Economics;journal;ISSN 00221821, 14676451
Ecosphere;journal;ISSN 21508925
Nutrition Research Reviews;journal;ISSN 09544224, 14752700
Journal of Fluid Mechanics;journal;ISSN 00221120, 14697645
Zoological Journal of the Linnean Society;journal;ISSN 00244082, 10963642
Prenatal Diagnosis;journal;ISSN 01973851, 10970223
Translational Oncology;journal;ISSN 19365233
Pediatric Diabetes;journal;ISSN 1399543X, 13995448
Rheumatology;journal;ISSN 14620324, 14620332
Journal of Economic Education;journal;ISSN 00220485
Journal of the Geological Society;journal;ISSN 00167649
Energy for Sustainable Development;journal;ISSN 09730826
BMJ Open;journal;ISSN 20446055
Therapeutic Advances in Drug Safety;journal;ISSN 20420986
Neuromuscular Disorders;journal;ISSN 09608966
Proceedings of the ACM Conference on Computer and Communications Security;conference and proceeding;ISSN 15437221
Translational Neurodegeneration;journal;ISSN 20479158
European Heart Journal: Acute Cardiovascular Care;journal;ISSN 20488734, 20488726
Journal of Corporate Finance;journal;ISSN 09291199
Journal of Hepato-Biliary-Pancreatic Sciences;journal;ISSN 18686974, 18686982
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology;journal;ISSN 19395116, 19390041
Emerging Adulthood;journal;ISSN 21676968, 21676984
Clinics in Dermatology;journal;ISSN 0738081X
Journal of the European Academy of Dermatology and Venereology;journal;ISSN 09269959, 14683083
Social Science Research;journal;ISSN 0049089X, 10960317
International Journal of Production Research;journal;ISSN 1366588X, 00207543
Journal of Experimental Criminology;journal;ISSN 15733750
Journal of Cancer;journal;ISSN 18379664
Mathematical Research Letters;journal;ISSN 10732780
Current Anthropology;journal;ISSN 00113204, 15375382
Proceedings - International Symposium on Computer Architecture;conference and proceeding;ISSN 10636897
Language Testing;journal;ISSN 02655322
Journal of Cryptology;journal;ISSN 14321378, 09332790
Asian Journal of Organic Chemistry;journal;ISSN 21935807
Journal of Exposure Science and Environmental Epidemiology;journal;ISSN 1559064X, 15590631
Neonatology;journal;ISSN 16617800
American Journal of Translational Research;journal;ISSN 19438141
Biological Invasions;journal;ISSN 15731464, 13873547
British Journal of Sociology;journal;ISSN 14684446, 00071315
Acta Myologica;journal;ISSN 11282460
Geomorphology;journal;ISSN 0169555X
American Journal of Agricultural Economics;journal;ISSN 00029092
Journal of Politeness Research;journal;ISSN 16125681
Journal of Process Control;journal;ISSN 09591524
Weekly epidemiological record. Releve epidemiologique hebdomadaire. World Health Organization;journal;ISSN 00498114
Advances in Microbial Physiology;book serie;ISSN 00652911
Journal of Natural Products;journal;ISSN 15206025, 01633864
Clinical and Translational Gastroenterology;journal;ISSN 2155384X
Annals of the American Thoracic Society;journal;ISSN 23256621
Annals of Epidemiology;journal;ISSN 10472797
American Journal of Roentgenology;journal;ISSN 0361803X, 15463141
Match;journal;ISSN 03406253
Cancer Epidemiology;journal;ISSN 18777821
Land Use Policy;journal;ISSN 02648377
Journal of Personal Selling and Sales Management;journal;ISSN 08853134
Michigan Mathematical Journal;journal;ISSN 00262285
Cornell Law Review;journal;ISSN 00108847
Regulation and Governance;journal;ISSN 17485991, 17485983
Biochimica et Biophysica Acta - Proteins and Proteomics;journal;ISSN 15709639
Environmental Impact Assessment Review;journal;ISSN 01959255
Chemical Senses;journal;ISSN 14643553, 0379864X
Journal of Algebraic Combinatorics;journal;ISSN 15729192, 09259899
IEEE Transactions on Electron Devices;journal;ISSN 00189383
Reliability Engineering and System Safety;journal;ISSN 09518320
Emotion Review;journal;ISSN 17540739
Experimental Dermatology;journal;ISSN 09066705, 16000625
Immunome Research;journal;ISSN 17457580
IEEE Photonics Technology Letters;journal;ISSN 10411135
BMC Ecology;journal;ISSN 14726785
IEEE Transactions on Information Theory;journal;ISSN 00189448
Building Research and Information;journal;ISSN 09613218, 14664321
Georgetown Law Journal;journal;ISSN 00168092
Scandinavian Journal of Economics;journal;ISSN 03470520, 14679442
Journals of Gerontology - Series B Psychological Sciences and Social Sciences;journal;ISSN 10795014
Infection, Genetics and Evolution;journal;ISSN 15671348
Journal of Structural Engineering;journal;ISSN 07339445
Current Protein and Peptide Science;journal;ISSN 13892037
Evolutionary Ecology;journal;ISSN 02697653, 15738477
ACI Materials Journal;journal;ISSN 0889325X
Diabetes and Metabolism Journal;journal;ISSN 22336087, 22336079
Abhandlungen der Senckenberg Gesellschaft fur Naturforschung;book serie;ISSN 18680356
Journal of Neurology;journal;ISSN 03405354
Geophysical Prospecting;journal;ISSN 13652478, 00168025
Brain Connectivity;journal;ISSN 21580022, 21580014
Social Development;journal;ISSN 0961205X, 14679507
Archives of Physical Medicine and Rehabilitation;journal;ISSN 1532821X, 00039993
NDT and E International;journal;ISSN 09638695
Clinical Oral Implants Research;journal;ISSN 16000501, 09057161
Journal of Cancer Epidemiology;journal;ISSN 16878558, 16878566
Contemporary Educational Psychology;journal;ISSN 0361476X, 10902384
Particle and Particle Systems Characterization;journal;ISSN 15214117, 09340866
Journal of Steroid Biochemistry and Molecular Biology;journal;ISSN 09600760
Journal of Economic Behavior and Organization;journal;ISSN 01672681
Journal of Academic Librarianship;journal;ISSN 00991333
Stem Cell Reviews and Reports;journal;ISSN 15586804, 15508943
Engineering Fracture Mechanics;journal;ISSN 00137944
European Journal of Pharmaceutics and Biopharmaceutics;journal;ISSN 09396411
Journal of Oral Microbiology;journal;ISSN 20002297
Cities;journal;ISSN 02642751
Journal of Sex Research;journal;ISSN 00224499
International Journal of Refrigeration;journal;ISSN 01407007
Nanomedicine;journal;ISSN 17486963, 17435889
Journal of Traumatic Stress;journal;ISSN 15736598, 08949867
Best Practice and Research in Clinical Rheumatology;journal;ISSN 15216942
Hydrological Processes;journal;ISSN 08856087, 10991085
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration;journal;ISSN 21678421, 21679223
Instructional Science;journal;ISSN 00204277
Population Studies;journal;ISSN 14774747, 00324728
Physical Review A - Atomic, Molecular, and Optical Physics;journal;ISSN 10502947, 10941622
Journal of Dynamics and Differential Equations;journal;ISSN 10407294
